,datetime,DLclose,CondV
1,2006-01-03,0.012763803014583353,0.001024677839466167
2,2006-01-04,-0.007841592324031144,0.0008848776305197048
3,2006-01-05,0.004534604312639079,0.000756721464415758
4,2006-01-06,0.0007268616052531485,0.0006393653770228379
5,2006-01-09,0.022393016642801022,0.0005392381327577979
6,2006-01-10,0.0017352899132823119,0.0005365903447173666
7,2006-01-11,-0.016327704073938243,0.0004537892768044879
8,2006-01-12,-0.004777686494453537,0.00043570793179585973
9,2006-01-13,0.0010056113958603063,0.00037506593198661446
10,2006-01-17,-0.005523205397179876,0.0003191303829108219
11,2006-01-18,-0.00885213073220914,0.0002795233113621979
12,2006-01-19,-0.008931191326299714,0.00025578893013004266
13,2006-01-20,-0.024705987165407617,0.00023628907021333714
14,2006-01-23,0.0091953705676171,0.0003166054654662063
15,2006-01-24,-0.00759375174762722,0.0002826061543509384
16,2006-01-25,0.009681348013276914,0.00025440732491110736
17,2006-01-26,0.02841298794390479,0.00023225993706477472
18,2006-01-27,0.0035207741595639774,0.00033228580574324056
19,2006-01-30,0.0030252327289672643,0.000284761423299944
20,2006-01-31,-0.008818827380704608,0.0002447608021701467
21,2006-02-01,0.008979916342431782,0.00022672665175099024
22,2006-02-02,0.003617658097751164,0.00020713580492121597
23,2006-02-03,-0.01764870742498781,0.0001806272122745564
24,2006-02-06,0,0.0002163783709269173
25,2006-02-07,-0.0010214714161169702,0.00018708419022472149
26,2006-02-08,0.006072604400921833,0.0001631595561995618
27,2006-02-09,0.00202955094832058,0.00014743145259314217
28,2006-02-10,0.008519624342038679,0.00012980089951720848
29,2006-02-13,-0.004472838033486859,0.0001251482860958009
30,2006-02-14,0.009005810073202447,0.00011585156453873944
31,2006-02-15,0.00475155119450843,0.0001148709624950173
32,2006-02-16,0.013020347385843234,0.00010511135690704103
33,2006-02-17,-0.005361731748961152,0.00012012485035526918
34,2006-02-21,0.0022112546028960622,0.00011343787482142432
35,2006-02-22,0.017516184635901766,0.00010157253319982496
36,2006-02-23,-0.0072741738624766406,0.00013971678289836947
37,2006-02-24,0.013302245750462127,0.00013449172181046642
38,2006-02-27,0.002155090308791241,0.00014580036149682268
39,2006-02-28,-0.015769714039146177,0.00012849789705725046
40,2006-03-01,0.012882375889562425,0.00016153453588307312
41,2006-03-02,0.0007322478407925104,0.00016653406486380148
42,2006-03-03,-0.003859965420970113,0.00014545765809300843
43,2006-03-06,-0.0016643769203761316,0.00013170486942395407
44,2006-03-07,0.0012001782350066215,0.00011752160762285583
45,2006-03-08,0.002897712836071431,0.00010466303855928186
46,2006-03-09,-0.013555974615615085,9.467770849304859e-5
47,2006-03-10,0.0021875863249536387,0.00012147450974428416
48,2006-03-13,-0.0017184147950586315,0.0001082542284720941
49,2006-03-14,0.007787291620818593,9.80387033588576e-5
50,2006-03-15,-0.0038860655907142494,9.6832902791945e-5
51,2006-03-16,0.0024111390696464063,9.125202716988697e-5
52,2006-03-17,0.001474926521067843,8.31992367747911e-5
53,2006-03-20,0.0016663764052875507,7.612817425642575e-5
54,2006-03-21,-0.006019786320432541,7.028911564983413e-5
55,2006-03-22,0.020397460663023725,7.342088890448386e-5
56,2006-03-23,-0.00022903385983985558,0.00013440436209178334
57,2006-03-24,0.0014115405300287875,0.00011888946023607066
58,2006-03-27,-0.00022876315487918575,0.00010583778319621853
59,2006-03-28,-0.012894986216596127,9.509872882860107e-5
60,2006-03-29,0.0011967034183091307,0.00011860342288230903
61,2006-03-30,-0.0016989733023349274,0.00010556353352977375
62,2006-03-31,0.005511142188689533,9.57807918765835e-5
63,2006-04-03,0.004027391669982006,9.03489903722647e-5
64,2006-04-04,0.016137650154774086,8.379236233204311e-5
65,2006-04-05,0.006382840623221586,0.00011725257900679869
66,2006-04-06,-0.005893299840347144,0.00010978157688552908
67,2006-04-07,-0.014065782674962612,0.00010601327986134608
68,2006-04-10,0.00453325474910482,0.0001335033379994023
69,2006-04-11,-0.009087153516941004,0.00012033916347540319
70,2006-04-12,0.008136492736151357,0.0001240166648627291
71,2006-04-13,0.008108562159693022,0.00011933301839867922
72,2006-04-17,-0.0045008491419360475,0.0001153616456695813
73,2006-04-18,0.018850770359787994,0.00010775270784117622
74,2006-04-19,-0.004212416062832514,0.0001529044841195694
75,2006-04-20,-0.00048575432996234014,0.00013850069966550785
76,2006-04-21,-0.002319926204202183,0.0001224058992047784
77,2006-04-24,0.004224226389480279,0.00011041717529811226
78,2006-04-25,-0.010839299748912623,0.00010073115990713779
79,2006-04-26,0.010354234162266884,0.00011424352511404319
80,2006-04-27,0.029782707903561523,0.00011767707844306925
81,2006-04-28,0.03467650128842292,0.0002502996722330654
82,2006-05-01,-0.019968502904551766,0.00041408685834578153
83,2006-05-02,0.021052665495226996,0.0004266078986438069
84,2006-05-03,-0.004168205127637048,0.0004330686800000116
85,2006-05-04,0.0072394391754326826,0.0003717483501121742
86,2006-05-05,0.020590129210865893,0.0003235096868275953
87,2006-05-08,-0.013610328324695775,0.0003439969634208672
88,2006-05-09,0.0002076052739194978,0.0003293826242553745
89,2006-05-10,-0.0021473357054602182,0.0002811440092412557
90,2006-05-11,-0.018476276167573413,0.0002424334916260525
91,2006-05-12,-0.012939182371197067,0.00027327416126696636
92,2006-05-15,0.0008940545968805225,0.00026720101646627507
93,2006-05-16,-0.004981107215385361,0.00022929402781743505
94,2006-05-17,-0.02212101897012797,0.0002035640052847385
95,2006-05-18,-0.014166795716482383,0.0002676136390812922
96,2006-05-19,0.007237935946389218,0.0002686098715536819
